"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08","WT11","WT13","WT16","WT17","WT18","WT19","WT22"
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-01","0.00",,"28","16",,,,"    1",,,,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-02","0.00",,"16","5",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-03","0.00",,"21","4",,,,,,,,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-04","0.00",,"24","19",,,,"    1",,,,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-05","0.00",,"27","21","    1",,,"    1",,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-06","0.00",,"28","26",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-07","0.16",,"27","22","    1","    1",,"    1",,"    1",,,"    1",,"    1"
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-08","0.02",,"28","18","    1",,,"    1",,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-09","0.00",,"26","8",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-10","0.00",,"28","8",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-11","0.03",,"22","15","    1","    1",,"    1",,,,,"    1",,"    1"
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-12","0.00",,"28","16","    1",,,,,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-13","0.00",,"31","24",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-14","0.00",,"38","25",,,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-15","0.00",,"38","32","    1",,,"    1",,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-16","0.00",,"34","29","    1",,,"    1",,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-17","0.00",,"33","26","    1",,,"    1",,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-18","0.00",,"32","23","    1",,,,,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-19","0.00",,"34","31","    1",,,"    1",,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-20","0.00",,"32","20",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-21","0.00",,"35","19",,,,,,,,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-22","0.00",,"39","27",,,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-23","0.00",,"36","30",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-24","0.18",,"46","36","    1",,,,,"    1","    1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-25","0.05",,"45","30","    1",,,"    1",,"    1","    1",,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-26","0.00",,"31","24","    1",,,"    1",,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-27","0.00",,"27","18","    1",,,,,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-28","0.00",,"26","9","    1",,,"    1",,,,,"    1",,"    1"
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-29","0.00",,"21","7",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-30","0.00",,"21","10",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-01-31","0.00",,"28","11",,,,,,,,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-01","0.00",,"28","13",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-02","0.00",,"29","19","    1",,,"    1",,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-03","0.00",,"34","27","    1",,,"    1",,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-04","0.00",,"33","19","    1",,,,,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-05","0.00",,"31","26","    1",,,"    1",,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-06","0.00",,"28","19",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-07","0.00",,"31","18","    1",,,"    1",,,,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-08","0.00",,"35","13",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-09","0.09",,"25","22","    1",,,,,"    1",,,"    1",,"    1"
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-10","0.07",,"29","23","    1",,,"    1",,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-11","0.00",,"30","21","    1",,,,,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-12","0.00",,"28","20",,,,,,,,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-13","0.00",,"29","23",,,,,,,,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-14","0.00",,"33","26","    1",,,,,,,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-15","0.00",,"30","25",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-16","0.00",,"30","22","    1",,,"    1",,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-17","0.00",,"35","25","    1",,,,,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-18","0.00",,"38","29",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-19","0.00",,"40","24",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-20","0.00",,"42","24",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-21","0.00",,"42","30",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-22","0.32",,"32","28","    1","    1",,,,"    1",,,"    1",,"    1"
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-23","0.07",,"34","19","    1","    1",,"    1",,,,,"    1",,"    1"
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-24","0.01",,"30","17","    1","    1",,,,"    1",,,"    1",,"    1"
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-25","0.00",,"28","22","    1",,,"    1",,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-26","0.05",,"30","23","    1",,,"    1",,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-27","0.01",,"36","30","    1",,,"    1",,"    1",,,"    1",,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-02-28","0.00",,"42","31",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-03-01","0.00",,"42","25",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-03-02","0.00",,"37","25",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-03-03","0.00",,"42","27",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-03-04","0.00",,"42","25",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-03-05","0.00",,"42","25",,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2010-03-06","0.00",,"50","21",,,,,,,,,,,
